;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2002-03-01;7,961086;6,426426;10,381209;1,026617;4,300508
2002-04-01;7,620707;-9,065064;0,741194;1,027156;2,395871
2002-05-01;2,492521;-3,35481;-0,980822;1,014771;1,738706
2002-06-01;19,359861;3,06239;8,331545;0,94859;0,267072
2002-07-01;15,765673;-3,560856;15,087218;0,971387;-3,437644
2002-08-01;-21,617027;-43,510333;-37,019656;1,026892;-4,876884
2002-09-01;13,140976;12,488758;8,635207;0,990694;0,211752
2002-10-01;15,098628;2,017418;8,755853;1,037165;5,510835
2002-11-01;-1,696769;6,250504;-0,568296;0,985615;-0,138637
2002-12-01;-25,587527;17,818976;-20,825961;1,011542;4,801088
2003-01-01;-21,664807;6,100944;8,523114;1,030873;-0,717049
2003-02-01;-10,952857;2,829881;-1,769353;0,92338;-9,31147
2003-03-01;8,022179;7,118485;10,414749;1,037937;3,86814
2003-04-01;7,669687;-8,292292;1,083402;1,020183;1,697691
2003-05-01;3,072547;-1,022837;-0,685317;1,014616;1,97141
2003-06-01;19,323936;3,932145;9,260834;0,954716;-0,201842
2003-07-01;15,773772;-4,038885;13,495084;0,963294;-3,573649
2003-08-01;-22,242316;-42,793333;-35,667004;1,02678;-3,987549
2003-09-01;12,698637;11,873315;8,827107;0,996051;-0,107202
2003-10-01;15,407867;-0,067887;7,467534;1,035996;5,576954
2003-11-01;-1,011908;5,575266;-0,709021;0,986574;0,140576
2003-12-01;-26,425187;16,748016;-19,533216;1,010545;4,912367
2004-01-01;-21,809601;6,842045;8,040381;1,027606;-0,16076
2004-02-01;-10,786291;2,574363;-2,828339;0,919972;-9,288955
2004-03-01;7,686632;8,034262;11,019229;1,049756;2,958484
2004-04-01;8,291022;-8,597512;0,917165;1,011245;1,414658
2004-05-01;3,142464;0,98718;-0,595807;1,012728;1,923709
2004-06-01;19,524664;3,787535;10,055249;0,965605;-0,536988
2004-07-01;16,530983;-3,771257;11,895849;0,953729;-3,011209
2004-08-01;-23,15363;-41,661902;-33,750785;1,029578;-3,716234
2004-09-01;12,735105;11,613692;9,380112;1,000317;-0,19931
2004-10-01;15,872283;-2,85027;6,280723;1,032825;5,583101
2004-11-01;-1,008696;4,974167;-0,861021;0,990149;-0,090329
2004-12-01;-27,355753;15,968116;-18,054409;1,007327;5,425195
2005-01-01;-22,287557;7,57897;6,330762;1,020831;-0,07223
2005-02-01;-11,131999;3,510866;-4,159064;0,919956;-9,191287
2005-03-01;7,822381;8,600049;11,413014;1,062664;2,432048
2005-04-01;9,319471;-9,921643;1,004626;1,001584;1,507981
2005-05-01;2,999097;3,121761;-0,133074;1,01352;1,399624
2005-06-01;20,228161;3,809573;11,224535;0,973436;-0,501505
2005-07-01;17,057564;-3,164637;10,877104;0,946634;-2,574793
2005-08-01;-24,083584;-40,640949;-31,824414;1,028674;-3,677967
2005-09-01;13,355061;10,194172;9,854925;1,004106;0,087208
2005-10-01;15,834012;-5,608458;5,379039;1,030804;5,067143
2005-11-01;-1,266507;4,122735;-1,588164;0,991386;-0,418342
2005-12-01;-28,256828;15,282663;-17,907344;1,007888;6,519098
2006-01-01;-22,812941;9,755201;4,636242;1,017578;-0,517471
2006-02-01;-11,651284;5,751994;-4,481091;0,920736;-9,126705
2006-03-01;8,573828;9,049201;11,515732;1,066049;2,420229
2006-04-01;9,978164;-11,745462;1,622981;0,99952;1,256459
2006-05-01;2,921032;4,314297;-0,335719;1,009013;0,934824
2006-06-01;21,037261;3,184381;11,699387;0,978047;0,016322
2006-07-01;17,003002;-2,787888;10,998503;0,946255;-2,672508
2006-08-01;-24,33752;-39,98447;-29,447379;1,024462;-3,406986
2006-09-01;13,931234;9,071015;10,58576;1,007598;0,458019
2006-10-01;15,064257;-8,406662;5,11067;1,032695;4,059356
2006-11-01;-1,314169;4,242959;-2,488729;0,992322;-0,542279
2006-12-01;-29,121285;15,256655;-19,235981;1,01088;7,647651
2007-01-01;-22,706341;10,793824;2,544998;1,012562;-1,113958
2007-02-01;-11,969986;8,54197;-4,671478;0,921283;-8,88495
2007-03-01;9,631787;9,524257;11,498987;1,067531;2,788024
2007-04-01;9,813534;-13,067517;2,954053;0,998275;0,65614
2007-05-01;2,966127;4,811452;-0,547122;1,001389;0,674108
