;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2017-06-01;92,024338;108,687291;62,161238;92,018038;100,100228;107,201918;86,01296;95,393801;129,959752;113,240225
2017-07-01;95,00995;111,577514;101,102144;90,685942;102,22849;105,147807;82,86466;92,526614;131,009656;100,443005
2017-08-01;91,905302;102,962822;107,857542;92,185696;103,924706;106,177898;81,950103;95,906515;131,497261;103,10937
2017-09-01;91,100071;105,091175;115,550903;93,122051;103,595536;107,97135;85,430251;92,773619;129,722879;99,126252
2017-10-01;96,325956;114,031187;110,879576;92,26985;102,201525;103,584013;82,039221;93,919444;124,76247;102,088464
2017-11-01;97,869259;93,520531;114,34275;92,997079;102,586637;105,881946;81,572636;91,324131;125,660352;104,976445
2017-12-01;97,389513;106,182752;114,998004;92,293619;104,804412;107,131594;83,469328;97,375383;121,747195;101,796567
2018-01-01;94,965104;100,767444;105,699764;102,301587;106,682534;105,872014;82,658454;93,809873;125,492166;89,692064
2018-02-01;90,152456;105,852479;103,483527;101,954986;106,652599;106,499694;86,124775;93,113204;119,390491;93,479484
2018-03-01;94,702925;102,641051;104,024384;101,251155;110,307855;108,445737;87,219714;99,723315;122,539106;94,850731
2018-04-01;98,427097;124,237917;108,900961;101,688593;109,453487;103,834538;84,624842;99,345608;127,001397;96,045402
2018-05-01;97,218076;91,646848;112,070604;105,028211;112,959702;109,519875;91,061422;102,653152;125,326774;95,126754
2018-06-01;99,422352;98,776396;94,686778;99,4106;106,207445;105,423544;82,591223;99,20227;112,222184;96,186247
2018-07-01;101,885677;96,341225;119,476155;99,716352;104,575265;105,494855;80,662515;104,789629;118,267811;100,653976
2018-08-01;99,891191;97,619195;106,607088;100,953305;102,867726;105,436435;81,75819;103,395944;119,748264;100,644014
2018-09-01;99,989762;93,571677;99,445292;98,947501;102,281265;104,555005;82,021467;101,810527;122,853486;107,15907
2018-10-01;99,877815;103,360564;98,394536;102,333572;104,23526;105,637014;84,942256;100,079245;126,166479;97,415189
2018-11-01;92,573148;101,014724;95,66337;100,138563;101,986326;104,178758;76,058377;100,385418;120,566277;100,919617
2018-12-01;100,989913;108,625921;92,706557;100,518505;104,059942;105,687782;80,698119;96,130705;123,080237;99,24492
2019-01-01;95,745525;99,883489;98,645337;102,177023;105,053731;105,972257;85,065777;97,640904;124,492906;101,698133
2019-02-01;97,311654;104,905191;92,698303;100,744363;104,634121;105,669915;81,187412;97,524227;121,963081;100,887454
