;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2021-09-01;9,062462;6,227519;5,696941;1,014873;4,092224;1,011229;1,054894;-0,065657;1,031897;1,77847
2021-10-01;9,66407;6,357084;4,624264;0,989262;2,600373;1,046262;1,01985;-2,698483;0,961169;1,306186
2021-11-01;3,341358;4,143508;-0,428019;0,988439;0,552771;1,032857;0,99911;-0,182182;0,963723;0,942708
2021-12-01;-19,127967;-0,094345;-13,248919;1,067965;15,555394;1,079649;1,129832;-19,834171;1,004506;0,732473
2022-01-01;-20,779536;10,27227;-0,104624;0,991874;-2,150113;0,980112;0,95267;-1,956558;0,986358;0,705789
2022-02-01;-6,743144;3,136146;5,424667;0,9221;-9,605583;0,908683;0,940834;-9,264984;0,938604;0,665857
2022-03-01;16,18409;13,158551;16,321009;1,115001;4,111928;1,023719;1,077123;12,90139;1,11948;0,724039
2022-04-01;4,408941;-9,781657;3,645438;0,989698;-5,412173;0,945314;0,955831;7,93951;0,968004;0,63936
2022-05-01;8,362803;1,927843;7,02956;1,041139;4,726946;1,030458;0,983793;13,199813;1,061216;0,689879
2022-06-01;15,833073;-1,251863;2,627001;1,008158;-2,089763;0,999168;1,084327;13,876624;1,086923;1,03431
2022-07-01;6,78037;7,701597;-4,435845;0,933949;-6,214753;0,966026;0,935063;-17,894861;0,948833;1,311025
2022-08-01;-19,644069;-40,87653;-17,100092;1,007265;1,907389;1,023104;0,919408;5,441057;1,004433;1,510004
2022-09-01;8,957421;5,842357;6,179839;1,017285;4,131037;1,01088;1,050416;-0,084337;1,017621;1,74683
2022-10-01;9,36405;6,339226;3,512905;0,990579;2,533697;1,046432;1,032913;-3,56415;0,959368;1,307722
2022-11-01;3,398873;3,57222;-0,523773;0,98842;0,144463;1,03368;1,008973;-0,121507;1,00144;0,935755
2022-12-01;-22,481272;-0,578353;-17,274601;1,027869;11,176636;1,051713;1,104594;-20,702827;0,950731;0,713287
2023-01-01;-17,425424;9,884344;3,332635;1,029874;2,040524;1,008862;0,977484;-1,336696;1,040088;0,735155
2023-02-01;-6,438015;4,086506;5,131059;0,924076;-9,512997;0,909103;0,940957;-9,656118;0,937727;0,675097
2023-03-01;15,612485;13,191434;16,457271;1,110939;4,259817;1,023751;1,077917;13,886959;1,083535;0,727942
2023-04-01;0,545863;-11,283089;0,128377;0,956873;-9,397936;0,918129;0,915967;7,212229;0,943336;0,625234
2023-05-01;-0,237502;0,620654;-0,753274;0,966205;-3,178695;0,975011;0,916399;11,047855;1,020347;0,652287
2023-06-01;19,794051;-1,099992;6,600929;1,045956;1,983449;1,024969;1,112839;15,018421;1,094881;1,076312
2023-07-01;7,066772;9,542997;-2,92362;0,93138;-6,102157;0,966229;0,927655;-18,219017;0,991837;1,311996
2023-08-01;-18,945799;-38,891593;-16,886329;1,003467;1,903996;1,023183;0,91997;6,221938;1,014764;1,504668
2023-09-01;4,94186;4,501164;2,59104;0,982397;-0,146894;0,983602;1,010196;-1,706346;0,951735;1,664213
2023-10-01;13,10199;6,378876;5,910289;1,03144;6,533035;1,076209;1,082165;-3,384163;1,009086;1,346941
2023-11-01;7,656329;3,507476;3,477258;1,025141;3,607325;1,063635;1,055101;1,032621;1,066122;0,962494
2023-12-01;-29,729476;-1,232851;-25,320677;0,955303;2,94268;0,995737;1,042537;-22,449339;0,867817;0,670464
2024-01-01;-18,26556;8,985915;3,62743;1,031628;2,238768;1,009669;0,967989;-2,00252;1,054495;0,738349
2024-02-01;-0,875789;8,690442;-1,642507;0,977531;-6,751882;0,957424;0,990017;-4,496308;0,989792;0,698768
2024-03-01;7,072349;11,917489;8,968315;1,025992;-3,705137;0,969177;1,005514;12,479366;0,967792;0,683708
2024-04-01;8,803839;-11,322174;7,173677;1,033101;-0,953631;0,967587;0,979123;9,681945;1,030897;0,676786
2024-05-01;-0,845242;-0,668546;-0,918045;0,967872;-2,818114;0,975032;0,915397;11,279783;1,004897;0,660212
2024-06-01;11,616078;-1,717803;0,002932;0,970434;-5,836724;0,968272;1,026869;12,465109;0,996775;1,012641
2024-07-01;19,790258;12,10611;9,555229;1,037487;6,199613;1,048717;1,026362;-14,670001;1,126584;1,447882
2024-08-01;-22,490857;-37,343433;-20,581034;0,9635;-2,31672;0,996474;0,886227;5,798819;0,933801;1,454648
2024-09-01;4,977437;4,757543;2,783775;0,984209;-0,652895;0,98427;1,008023;-2,193935;0,95797;1,648366
2024-10-01;16,996411;6,682794;8,324505;1,074439;10,313775;1,1061;1,132712;-3,295547;1,075982;1,380101
2024-11-01;-0,32435;2,789119;-3,867224;0,949951;-5,050102;1,008209;0,989533;-1,259737;0,965649;0,895663
2024-12-01;-25,194842;-1,893064;-21,81764;0,993453;6,898103;1,0227;1,089042;-20,810596;0,912881;0,697913
2025-01-01;-18,795884;8,10813;3,637795;1,034187;2,296291;1,009587;0,959705;-2,394064;1,050473;0,73899
2025-02-01;-6,5478;5,286706;4,374282;0,924532;-9,419447;0,911995;0,940718;-9,919439;0,934414;0,687885
2025-03-01;6,552237;11,461869;9,110131;1,022179;-3,367506;0,969473;1,007068;12,970735;0,968523;0,688195
2025-04-01;9,13931;-11,699633;6,617441;1,035203;-0,488266;0,965434;0,978359;9,968523;1,049298;0,681507
2025-05-01;-1,324754;-2,20955;-0,633026;0,970619;-2,40533;0,976076;0,915501;11,261493;0,947021;0,663364
2025-06-01;11,473986;-1,091106;0,711796;0,969323;-5,592524;0,965896;1,017976;12,009511;1,001003;1,015727
2025-07-01;16,248208;13,039953;6,646301;0,996563;2,112402;1,020246;0,990722;-15,549836;1,136773;1,393685
2025-08-01;-26,248202;-35,386249;-24,570937;0,924719;-6,815659;0,970922;0,853988;5,390609;0,91103;1,41131
2025-09-01;9,105295;5,55151;6,354272;1,023277;3,032486;1,011503;1,042673;-1,477028;1,009676;1,694336
2025-10-01;16,873446;6,130487;7,692489;1,076809;10,058311;1,106333;1,138379;-4,138195;1,03354;1,372969
