;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1995-01-01;108,758239;90,438833;257,272836;45,096834;705,410721;630,178195;49,643519;51,732854;403,899922;90,949966;58,996793
1995-02-01;98,858382;83,039095;238,222811;39,451434;622,466376;466,453317;42,529039;47,169971;454,338587;83,512369;64,181933
1995-03-01;116,013927;95,769463;215,852198;44,478042;705,564606;559,085109;40,984057;54,365237;464,46184;96,315378;96,609819
1995-04-01;102,031519;91,203313;176,366159;50,021308;571,838164;466,117869;33,867763;52,100391;453,663703;91,717887;119,722912
1995-05-01;115,170293;97,86502;178,589504;48,552349;578,147474;425,084987;42,303644;49,685756;402,585675;98,418073;129,473088
1995-06-01;108,742751;91,779375;224,543456;43,011494;715,567017;476,652413;127,05934;45,539513;377,224292;92,295751;141,994312
1995-07-01;102,627895;80,877981;123,37402;45,041482;511,053347;401,206102;165,512146;27,078301;358,114431;81,335291;108,745002
1995-08-01;115,56481;80,288044;71,94111;44,748348;269,453398;115,302036;206,530756;37,187918;387,631706;80,747508;66,810487
1995-09-01;108,606904;81,667318;208,98004;42,689394;660,168351;582,164029;231,780309;49,07947;467,623137;82,136655;63,51197
1995-10-01;114,401585;89,801374;254,876243;44,043665;741,573532;539,866925;129,632053;54,033965;452,562578;90,313154;49,210469
1995-11-01;107,585613;89,971862;246,127236;45,70329;670,170916;379,722936;83,919545;54,506475;438,212422;90,481768;49,41238
1995-12-01;103,974134;87,042182;190,955057;39,883287;458,270736;289,364197;52,914994;47,154954;516,569924;87,532697;41,062067
1996-01-01;118,674433;91,753749;244,986689;53,542606;697,254783;584,790904;52,23466;53,949696;383,724486;92,276334;60,691259
1996-02-01;102,971947;86,336535;231,336209;50,901028;696,177584;445,370916;44,551257;51,598315;407,025699;86,831313;67,12187
1996-03-01;108,398883;90,784442;225,64791;47,532363;702,179123;536,839385;42,484976;52,541532;415,834705;91,305111;92,396406
1996-04-01;107,30778;94,00046;188,399654;59,83906;675,095255;589,893956;34,907906;49,685865;442,830047;94,535944;124,349819
1996-05-01;114,245728;95,217008;155,720811;49,20985;585,072326;484,926975;43,722511;49,002543;364,827747;95,757755;126,323803
