;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2007-09-01;121,897813;138,003089;112,02106;98,652623;93,509469
2007-10-01;139,027088;118,563535;134,051816;113,526789;109,97337
2007-11-01;119,0569;135,15606;121,551429;102,892875;102,743396
2007-12-01;77,626219;144,459789;104,586911;97,912653;100,111664
2008-01-01;102,795465;135,340522;110,309595;106,190795;103,885544
2008-02-01;117,660026;134,216175;137,156413;98,315664;95,449014
2008-03-01;115,28174;136,531741;118,146609;99,758152;96,157819
2008-04-01;132,664982;96,440787;141,141739;106,571008;104,73311
2008-05-01;116,377344;133,972971;127,923927;100,594677;98,273286
2008-06-01;135,987632;134,872635;133,280802;97,882466;98,758365
2008-07-01;135,569249;127,264966;135,815643;104,449582;102,273342
2008-08-01;79,752715;87,714863;85,535199;98,194267;89,143187
2008-09-01;128,15852;134,347056;119,173845;107,28406;98,927169
2008-10-01;126,973694;112,042148;114,467214;109,871854;103,421319
2008-11-01;96,298035;127,375119;90,311428;94,466374;89,460487
2008-12-01;75,220305;105,596095;69,645264;109,493827;106,545275
2009-01-01;72,140863;118,443556;100,936466;101,99123;93,740918
2009-02-01;89,334964;123,809502;101,96315;92,156994;85,904406
2009-03-01;110,940019;96,023973;88,371812;106,046277;96,350919
2009-04-01;112,11564;88,276681;77,308952;103,402562;99,384399
2009-05-01;97,741211;102,44579;65,460376;95,716312;93,476066
2009-06-01;121,758655;102,412958;95,293685;102,678673;99,0134
2009-07-01;117,447426;84,139743;108,782311;99,635539;97,484016
2009-08-01;73,431733;62,781255;69,52519;99,544782;90,40403
2009-09-01;114,455066;78,90188;116,194843;106,335843;98,212052
2009-10-01;112,035858;79,822167;106,711174;103,122861;100,112586
2009-11-01;98,97624;112,82696;98,148176;99,732474;96,980064
2009-12-01;66,484293;127,421139;75,293973;107,116269;108,296293
2010-01-01;60,716538;115,231228;97,633327;98,128497;90,272553
2010-02-01;78,505638;125,578267;96,476801;92,633889;88,894261
2010-03-01;113,098409;129,554169;119,14384;115,343368;104,506508
