;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1997-05-01;0,986288;1,078013;-31,156761;1,294085;0,933173;0,993016;0,425106;1,029833;0,857834;6,713454;1,523278
1997-06-01;0,965307;0,979881;25,585307;-1,109772;1,133729;1,186044;1,255205;0,94429;0,863179;-1,962274;1,640154
1997-07-01;1,028842;0,970563;-29,804918;6,195099;0,923193;1,068957;1,637518;0,567005;0,930829;-2,588306;1,407082
1997-08-01;0,96503;0,878859;-138,574752;-7,342549;0,488471;0,206255;2,016294;0,92897;0,909052;-10,852717;0,777287
1997-09-01;1,039274;0,940346;10,163614;-0,31874;1,176527;1,213664;2,288271;1,009711;1,09974;-5,218986;0,789415
1997-10-01;1,058752;1,018839;64,334128;0,3719;1,214871;1,3023;1,30129;1,127947;1,195;1,921322;0,599523
1997-11-01;0,913253;0,967405;39,482231;-6,633675;0,985516;0,834669;0,833387;1,060729;0,96856;-2,821421;0,566423
1997-12-01;1,058283;1,016664;-4,964475;0,214476;0,832572;0,755485;0,530589;1,048585;1,192277;1,999432;0,518371
1998-01-01;1,002817;1,049595;19,195238;5,301442;1,097179;1,156;0,523731;1,130223;0,962242;4,379407;0,73344
1998-02-01;0,908589;0,960548;13,720451;-6,123949;1,046695;0,907028;0,436852;1,006712;0,923352;-3,994566;0,788209
1998-03-01;1,051033;1,069581;21,711681;2,476682;1,130915;1,17646;0,417533;1,090409;1,016797;6,02631;1,159867
1998-04-01;1,034608;1,074024;3,29317;6,640332;1,03559;1,233054;0,342809;1,043926;1,073681;6,495489;1,512842
1998-05-01;0,953489;1,047441;-28,954652;-1,356868;0,899403;0,994175;0,426006;1,038028;0,841148;4,213935;1,468871
1998-06-01;1,006194;1,006707;27,103473;2,50276;1,163637;1,22206;1,26544;0,958222;0,904495;0,511838;1,687635
1998-07-01;1,017516;0,963026;-24,024476;3,322259;0,922398;1,073266;1,640376;0,572904;0,928006;-3,263071;1,392639
1998-08-01;0,972445;0,877841;-137,916978;-6,461548;0,514686;0,201912;1,98072;0,923388;0,905426;-11,210427;0,784531
1998-09-01;1,035211;0,942037;16,02679;-1,879744;1,208712;1,201247;2,28857;1,006614;1,118284;-4,995811;0,789999
1998-10-01;1,005889;1,002748;57,363776;-0,287818;1,189632;1,246507;1,283425;1,123048;1,142363;0,322085;0,590652
1998-11-01;0,964329;0,983495;41,887858;-4,010122;0,976583;0,862882;0,844015;1,044411;1,00856;-1,255958;0,57983
1998-12-01;1,044399;1,020657;-11,025678;0,581974;0,863525;0,754304;0,539569;1,057208;1,17416;2,313162;0,520223
1999-01-01;0,968927;1,026395;18,974166;2,244207;1,047354;1,125285;0,524596;1,129407;0,961274;2,466766;0,71078
1999-02-01;0,912086;0,962826;7,857098;-6,712916;1,035141;0,902883;0,442783;1,011553;0,910125;-3,808175;0,791246
1999-03-01;1,11696;1,098315;25,053745;5,272692;1,144818;1,224702;0,42406;1,086851;1,062593;8,533865;1,199674
1999-04-01;1,016238;1,072073;5,390359;5,782147;1,009931;1,245205;0,348837;1,03653;1,053485;6,352005;1,501906
1999-05-01;0,963002;1,039935;-29,779357;0,642003;0,887617;0,988635;0,428269;1,041925;0,829846;3,637126;1,47431
1999-06-01;0,998564;1,005297;28,685198;0,520318;1,179908;1,226299;1,269947;0,970922;0,918266;0,516016;1,677269
1999-07-01;0,964074;0,944582;-25,101855;2,735468;0,926475;1,010882;1,614741;0,578915;0,897084;-5,198546;1,36816
1999-08-01;1,023248;0,899915;-130,448816;-2,975813;0,559441;0,213471;1,983089;0,921072;0,947276;-9,065476;0,802842
1999-09-01;1,021481;0,936827;16,848176;-3,029954;1,225631;1,206951;2,285903;1,010017;1,079718;-5,635736;0,791017
1999-10-01;0,971813;0,979386;55,326283;-4,418648;1,150912;1,224011;1,278488;1,11677;1,114154;-1,782797;0,57304
1999-11-01;1,015596;1,017155;41,003801;1,143928;0,995276;0,876974;0,853435;1,032563;1,079406;1,787304;0,603544
1999-12-01;1,033049;1,017904;-13,633277;-1,746257;0,84101;0,73482;0,547823;1,071114;1,152066;1,99576;0,517572
2000-01-01;0,976479;1,024445;17,854098;3,318895;1,035139;1,108702;0,523505;1,113644;0,967603;2,320888;0,715423
2000-02-01;0,967511;1,009014;6,934008;-3,222604;1,079219;0,953118;0,464472;1,009198;0,967373;0,694773;0,828898
2000-03-01;1,079775;1,096216;26,664207;4,164565;1,149494;1,27149;0,433953;1,087823;1,037517;8,347113;1,190286
2000-04-01;0,953249;1,024981;0,227271;-0,429797;0,967156;1,157947;0,344952;1,033599;0,997688;2,312772;1,430259
2000-05-01;1,062959;1,087512;-22,324252;7,411798;0,914966;1,051826;0,443242;1,046505;0,896482;8,04921;1,549865
2000-06-01;0,973814;0,997814;25,821405;-0,429805;1,169364;1,227733;1,275397;0,982485;0,884398;-0,321573;1,667244
2000-07-01;0,933017;0,914343;-21,962402;-0,335969;0,917508;0,958924;1,583811;0,590244;0,866616;-8,201167;1,329786
2000-08-01;1,059442;0,925811;-126,283091;0,02427;0,612942;0,222364;1,982418;0,919066;0,974034;-6,502732;0,830168
2000-09-01;0,973862;0,923151;18,701274;-5,310182;1,158913;1,1667;2,243348;1,00761;1,060384;-7,143057;0,773154
2000-10-01;1,037346;1,001248;54,750349;-0,365589;1,181336;1,269768;1,292418;1,110784;1,146677;0,231423;0,59163
2000-11-01;1,006608;1,01638;36,091706;-1,246595;1,019742;0,878319;0,865684;1,028951;1,080918;1,698721;0,60245
2000-12-01;0,944069;0,980979;-20,733032;-6,369;0,79721;0,675691;0,540935;1,07395;1,095605;-1,62284;0,491998
