;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1998-07-01;108,259941;91,890178;217,238978;65,034003;488,650453;508,217989;107,05202;44,264133;415,254078;92,258601;86,252694
1998-08-01;109,515709;92,310596;168,249765;51,210509;558,212645;373,550417;108,45558;53,669523;399,914148;92,709888;86,844034
1998-09-01;107,480972;92,999297;184,088745;52,420529;566,417987;470,188032;107,674593;48,727868;384,07967;93,10874;87,115763
1998-10-01;105,454423;92,921176;203,908201;52,31084;585,980199;470,415314;107,067128;46,571004;399,89473;93,385998;86,909717
1998-11-01;109,392971;93,679495;129,136498;58,562958;522,835112;470,008007;106,412224;46,637881;390,434526;93,91315;87,907387
1998-12-01;108,748086;92,847716;175,416092;56,193916;537,469563;480,375546;106,12164;49,633775;373,727755;92,989263;87,013691
1999-01-01;108,07285;93,760733;217,24186;56,402092;568,316949;474,354143;107,964063;44,681105;445,224534;94,313035;88,176507
1999-02-01;108,389728;93,463375;199,881334;49,326876;560,453252;459,623466;107,448389;43,652409;382,316134;94,30922;87,783079
1999-03-01;108,921377;92,742179;224,430165;50,710804;529,745368;456,545769;106,055085;42,174791;371,015357;93,908172;86,909441
1999-04-01;104,039288;91,716855;201,431304;50,554298;526,903043;480,880103;105,795869;43,268424;384,844033;92,531945;86,544127
1999-05-01;109,862103;92,149019;196,068276;55,379265;565,530284;456,453673;107,68047;51,634253;387,926623;92,734159;86,735019
1999-06-01;108,283502;91,44823;218,669209;55,716041;587,940334;451,625189;106,581513;41,447742;389,680502;91,937758;86,909403
1999-07-01;109,022164;92,009542;207,076908;54,551357;591,972279;468,105573;107,636719;40,440509;367,878358;92,602929;87,04908
1999-08-01;108,652652;92,142339;169,018086;59,835702;445,613589;327,436046;107,891558;54,862728;399,00747;92,46091;86,947289
1999-09-01;107,302378;92,800294;227,842548;55,148533;543,908893;456,615645;107,095765;49,844515;372,960423;93,074131;87,312934
1999-10-01;109,621072;92,6953;208,436129;56,162546;478,404821;461,856817;108,9861;50,824292;372,463953;93,085748;87,930915
1999-11-01;109,694646;92,633435;214,182844;53,662448;532,187569;454,917311;107,742861;46,953916;369,481408;92,97049;86,783758
1999-12-01;109,088285;93,602233;198,907254;56,162373;558,811666;439,639352;106,894128;43,677976;377,596075;93,821963;88,566662
2000-01-01;110,249929;92,070151;154,173651;56,357874;507,084475;456,622125;109,501925;49,5104;368,232719;92,532503;86,408326
2000-02-01;107,148565;92,046016;162,545556;53,810237;514,32083;442,768693;103,053643;50,352035;345,003939;92,710307;87,289967
2000-03-01;108,117322;93,474278;179,406716;56,775929;545,931161;443,71212;105,090287;48,474803;349,889561;94,705649;87,922317
2000-04-01;107,077268;92,262347;201,57021;51,582703;495,313448;438,307695;108,767781;50,188509;371,832406;92,790646;87,985685
2000-05-01;109,01178;91,741246;208,897587;54,824234;570,490429;453,127428;105,135609;49,632664;362,301123;92,28868;87,090088
2000-06-01;105,557818;90,82871;130,274776;54,463671;450,852895;383,620527;103,1947;52,505666;372,593355;91,466638;86,946665
2000-07-01;107,232156;93,191477;164,682412;55,866004;495,112785;430,323985;105,512839;42,723994;378,557801;93,895134;87,994083
2000-08-01;106,78259;93,144941;175,550405;50,726505;417,764132;461,988513;102,682638;50,015233;323,572446;93,233334;87,533036
2000-09-01;107,130372;93,251072;167,114101;56,376898;462,885885;458,742552;104,540178;50,365474;382,708655;93,724109;88,416305
2000-10-01;100,865901;92,317063;167,641949;55,115728;446,935321;462,15385;105,103771;49,9422;360,660824;92,731122;87,526723
2000-11-01;84,232718;92,845042;191,483584;58,236506;452,114871;464,924487;105,118785;51,356046;369,884946;93,20625;88,014496
2000-12-01;99,40475;94,982818;189,750603;53,242152;453,813377;439,273362;108,720142;51,005571;312,891319;95,328202;91,221184
2001-01-01;94,494231;92,3054;134,290983;54,141577;480,912293;430,517895;106,949654;49,559907;335,43272;92,786985;86,597148
2001-02-01;100,698786;93,138288;153,087659;59,641145;456,487605;424,494117;106,592479;50,588486;344,516321;93,849545;88,360488
2001-03-01;98,815988;94,32512;131,678397;56,783886;476,569243;445,275654;106,272258;50,350263;361,909459;95,555745;88,71922
2001-04-01;110,309128;93,041428;172,772741;59,921048;498,99391;423,701052;107,059613;51,409909;350,381394;93,492255;88,492148
